,ANOVA statistic (Batch Effect),ANOVA Pval (Batch Effect),Proportion of Variance (Batch Effect),Kruskal-Wallis statistic (Batch Effect),Kruskal-Wallis Pval (Batch Effect)
Smooth Muscle Cells.R24_Program12,2.8163373367878615,0.0096422513834569,0.2840098356012706,20.89994122832792,0.032593170117709735
Smooth Muscle Cells.R24_Program13,8.331547070215942,4.2965660319920565e-08,0.5399035516209817,39.039083161915926,9.021340770476337e-05
Smooth Muscle Cells.R24_Program14,9.044734074852437,1.2426247624748722e-08,0.5602281234808821,45.96245959447543,7.48428240917456e-06
Smooth Muscle Cells.R24_Program15,5.049760518749402,4.9872428032954695e-05,0.4156263418490148,34.49801645606817,0.00040181029312364336
Smooth Muscle Cells.R24_Program16,4.3713273053289186,0.0002465264465989568,0.3810655200552295,38.23200117543348,0.00011379835533364473
Smooth Muscle Cells.R24_Program18,9.542549885300911,5.037521433941589e-09,0.5733826818046142,48.75382015868354,3.519992891250383e-06
Smooth Muscle Cells.R24_Program19,62.82420493802357,2.302439118258849e-29,0.8984614840269833,72.99889803114894,8.620399573948974e-10
Smooth Muscle Cells.R24_Program20,5.286030754655001,2.967290838607917e-05,0.4267735854497511,33.51932118718781,0.0005682818751138769
Smooth Muscle Cells.R24_Program21,2.7786716968541514,0.01053456786735219,0.2812798908722734,21.16360564208054,0.030175660984942187
Smooth Muscle Cells.R24_Program22,1.5687407264890731,0.17240193007240626,0.18096523774156398,21.387305318836354,0.02830159017763846
Smooth Muscle Cells.R24_Program23,2.413098068859629,0.02434604340464135,0.25366058999840585,32.399941228327975,0.0008196795459796926
Smooth Muscle Cells.R24_Program24,1.1880764514953168,0.3569939826236027,0.14334767040921378,16.306935057302383,0.118369744184263
T Cells.R9_Program1,7.646580217686299,1.6801669424306986e-07,0.5185324397120478,47.24125771378198,4.965371873068634e-06
T Cells.R9_Program2,0.8141796343801083,0.6464858120406117,0.10287606195381492,12.658095797825467,0.2836718719194674
T Cells.R9_Program3,4.446048915237648,0.00021146413405985585,0.38507102714332614,34.708345577431714,0.0003767542119502144
T Cells.R9_Program4,1.7375927791566483,0.1219146680424027,0.19661380905157105,10.376138701146033,0.44743782303410273
