,factor_idx,cell_type_compared,"CL_A vs HC1, pval","CL_UA vs HC1, pval","SSC_A vs HC1, pval","SSC_UA vs HC2, pval","HC1 vs HC2, pval","CL_A vs HC1, pval adjusted (FDR)","CL_UA vs HC1, pval adjusted (FDR)","SSC_A vs HC1, pval adjusted (FDR)","SSC_UA vs HC2, pval adjusted (FDR)","HC1 vs HC2, pval adjusted (FDR)",factor,cell_type,population_size
0,0,global,0.7623723486658228,6.544141259619879e-06,0.004341311910976065,1.1504935097745006e-06,0.9961843753657538,0.8080593114490652,2.3724205684460473e-05,0.010212678669215079,5.524261797847761e-06,0.9992279021952081,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
1,0,B_memory,0.4286043547681885,0.9792248557473174,0.7951076987858609,0.6743643823048562,0.6394756635849228,0.5077714649520284,0.987875584259777,0.8494408667321797,0.79195978096298,0.7889069189317989,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
2,0,CD4_T,0.30698054275335573,0.15502429035420576,0.009101257582948672,0.08455745311469896,0.41900901419100267,0.38403638749306446,0.2668226072184282,0.019903791042143786,0.17344018009039971,0.6093727440601708,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
3,0,CD8_T,0.37720993864811614,0.16877354584037452,0.2951755653218524,0.6693817951407974,0.38955992536326667,0.4556182588453792,0.2849066123082754,0.40739811997784836,0.7883996793440827,0.5816822876444684,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
4,0,DC,0.34511871648699055,0.15868780377627512,0.6396506432409388,0.14235305654302086,0.12003451668465373,0.423683434724929,0.2716151949288932,0.7261907994261187,0.26064154967601555,0.26774578180232955,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
5,0,Endothelial Cells,0.6914772980208119,0.5983971583908916,9.75762639865436e-05,0.4840022197995957,0.041874988864706496,0.7475468710646893,0.7340916097681816,0.00028877076885707804,0.639613499523843,0.11907279984474461,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
6,0,Fibroblasts,2.3740685784946656e-10,0.0006111787043384103,0.16669690573503815,0.011366384180464381,2.663497558097037e-05,8.62446904760199e-10,0.001832489574137939,0.25807805653585486,0.031641555961833275,0.00015756027784553757,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
7,0,Keratinocytes,0.09636251483235304,0.0030311557566834032,1.176612952639448e-11,0.0008517467666570471,0.006327151938845621,0.13990942244730528,0.008275811429240082,5.51360199840769e-11,0.0029611024257110976,0.02375734748731669,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
8,0,MDC,0.000682957282553969,0.031547731082693105,0.857275843133406,0.784978823293152,0.9307443943557192,0.001501705569383005,0.0688206940935992,0.8968870750806178,0.8659163710119546,0.9617525669551721,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
9,0,Melanocytes,0.0002786398806187281,0.8231003525782296,0.001535020252491575,0.0003422941986437512,7.805655528786574e-06,0.000642817432099332,0.8987208796702224,0.003931499792995975,0.0012605489263767733,5.0998891160094376e-05,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
10,0,NK,0.04961737174258229,0.5152465936577881,0.8120996409181505,0.9332880258467383,0.6624541655337743,0.07787273790373013,0.6614644075423437,0.8628558684755349,0.9549205297570931,0.8057123712778227,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
11,0,Schwann Cells,0.7709078599640768,0.9859671002026738,0.1604355086770357,0.5813217797598854,0.17720695520961038,0.8149686030169643,0.9916303230642629,0.25097311705791203,0.7240512510699202,0.34656041374974367,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
12,0,Smooth Muscle Cells,0.48207102590015694,0.536827704367782,0.019249007500743733,0.07596772628490726,0.1725916895264733,0.5601236671208857,0.6803271244979394,0.03925273152228526,0.1582937192283292,0.3398141473322954,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
13,0,T,0.17020474720156442,0.9573310323178088,0.5857510328790841,0.11568939256168652,0.1829863087733662,0.2315683856642885,0.974963147104585,0.6820993517432563,0.22147098364669798,0.35378251011648604,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
14,0,Treg,0.19931301804778156,0.4743910209156458,0.03222188206821056,0.8674222343318697,0.7068211378661688,0.266206784593185,0.6267545354300521,0.06190985607326631,0.9197525772340278,0.8351172823236583,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
15,0,pDC,0.3940447345967252,0.28504940740261275,0.6321987264563111,0.4476990724652935,0.27523352407483426,0.4733402677421901,0.43002653749803954,0.7195969469284946,0.6039260666340801,0.46073986678301604,0-X-global-X-all_chondroitine-and-heparan-sulfate_synthesis,global,261290.0
16,1,global,0.012270426890305677,0.002433522362245457,0.739562052430984,0.04918692439658233,0.1344781460372494,0.022043964587816593,0.006724509715347389,0.804831046492637,0.11097063313575065,0.2807685616588518,1-X-global-X-all_retinol_metabolism,global,261290.0
17,1,B_memory,0.0664163761363129,0.07445785201359656,0.1789556625075409,0.27801399287331174,0.9067744633405898,0.10060127561823866,0.14358557144912729,0.2733845278437537,0.43181771276271635,0.9458471516934308,1-X-global-X-all_retinol_metabolism,global,261290.0
